Time,Year,Month,Епіцентр К,Фокстрот,OLX,Prom.ua,Розетка,USD
2009-08,2009,8,1600000,1800000,0,100000,3200000,7.7650
2009-09,2009,9,1500000,1700000,0,50000,3400000,7.9000
2009-10,2009,10,1500000,1550000,0,50000,3400000,8.4700
2009-11,2009,11,1300000,2050000,0,100000,3800000,8.2600
2009-12,2009,12,1700000,2750000,0,100000,5800000,8.1450
2010-01,2010,1,1300000,1800000,0,100000,4800000,8.0300
2010-02,2010,2,1100000,1750000,0,100000,4800000,8.0500
2010-03,2010,3,1300000,1850000,0,100000,5000000,8.0500
2010-04,2010,4,1500000,1200000,132000,150000,4800000,8.0220
2010-05,2010,5,1600000,1400000,0,150000,5000000,7.9700
2010-06,2010,6,2100000,1650000,0,200000,5800000,7.9700
2010-07,2010,7,2000000,1850000,0,200000,6400000,7.9740
2010-08,2010,8,2000000,2200000,132000,200000,7400000,7.9540
2010-09,2010,9,1600000,1900000,0,200000,7800000,7.8925
2010-10,2010,10,1500000,1800000,132000,200000,8200000,7.8870
2010-11,2010,11,1700000,2200000,132000,250000,8800000,7.9300
2010-12,2010,12,1600000,3450000,132000,250000,11200000,7.9480
2011-01,2011,1,1300000,2050000,132000,200000,10800000,7.9640
2011-02,2011,2,1200000,1550000,132000,250000,10600000,7.9650
2011-03,2011,3,1300000,1550000,132000,250000,10000000,7.9500
2011-04,2011,4,1600000,1400000,132000,250000,10400000,7.9375
2011-05,2011,5,1700000,1350000,132000,250000,9800000,7.9600
2011-06,2011,6,1700000,1550000,132000,300000,10200000,7.9675
2011-07,2011,7,1800000,1950000,132000,300000,12200000,7.9780
2011-08,2011,8,2000000,2050000,132000,300000,13600000,7.9800
2011-09,2011,9,2200000,2400000,132000,300000,14600000,7.9950
2011-10,2011,10,1600000,2500000,132000,300000,14000000,7.9970
2011-11,2011,11,1700000,2050000,132000,350000,14200000,8.0030
2011-12,2011,12,2000000,2950000,132000,300000,17600000,8.0000
2012-01,2012,1,1600000,1750000,132000,350000,15000000,8.0140
2012-02,2012,2,1400000,1700000,132000,400000,14600000,7.9950
2012-03,2012,3,1500000,1450000,132000,400000,14400000,8.0250
2012-04,2012,4,1500000,1200000,0,450000,13200000,8.0030
2012-05,2012,5,1700000,1400000,132000,400000,11400000,8.0330
2012-06,2012,6,1800000,1650000,0,400000,12000000,8.0333
2012-07,2012,7,1900000,1900000,0,400000,13800000,8.0835
2012-08,2012,8,1900000,2200000,0,450000,14000000,8.0750
2012-09,2012,9,1500000,1900000,0,1050000,14600000,8.0970
2012-10,2012,10,1600000,1900000,0,900000,13800000,8.1275
2012-11,2012,11,1700000,2350000,0,700000,15400000,8.1470
2012-12,2012,12,2100000,3550000,0,600000,18200000,8.1430
2013-01,2013,1,1500000,2200000,0,700000,16600000,8.1850
2013-02,2013,2,1400000,1850000,0,800000,15800000,8.0400
2013-03,2013,3,1500000,1750000,0,800000,14400000,8.1420
2013-04,2013,4,2100000,1500000,0,850000,13200000,8.1050
2013-05,2013,5,2300000,1550000,0,750000,12600000,8.1340
2013-06,2013,6,2300000,1950000,0,750000,14600000,8.0900
2013-07,2013,7,2300000,1800000,0,800000,15400000,8.1500
2013-08,2013,8,2200000,2000000,0,750000,16000000,8.1530
2013-09,2013,9,1900000,2750000,0,850000,16600000,8.1250
2013-10,2013,10,2000000,2000000,0,900000,16600000,8.1235
2013-11,2013,11,2000000,2350000,0,950000,16200000,8.1895
2013-12,2013,12,2200000,4000000,0,950000,20000000,8.1855
2014-01,2014,1,1700000,2400000,0,1300000,16800000,8.2250
2014-02,2014,2,1700000,1900000,0,1200000,13800000,8.2300
2014-03,2014,3,1700000,1550000,0,1100000,12200000,8.6100
2014-04,2014,4,2000000,1650000,132000,1150000,12800000,9.9500
2014-05,2014,5,2100000,1600000,132000,1150000,12200000,11.1175
2014-06,2014,6,2100000,2000000,132000,1050000,13200000,11.6000
2014-07,2014,7,2200000,1850000,132000,1000000,12600000,11.7999
2014-08,2014,8,2300000,2200000,132000,1200000,14600000,11.7200
2014-09,2014,9,2200000,2200000,3432000,1400000,15000000,12.2000
2014-10,2014,10,2000000,2150000,8844000,1600000,14000000,13.2000
2014-11,2014,11,2100000,3250000,9900000,1550000,15400000,12.9000
2014-12,2014,12,2500000,5000000,8712000,1600000,17400000,12.9505
2015-01,2015,1,1700000,2600000,8712000,1350000,13800000,14.9690
2015-02,2015,2,1800000,2700000,9240000,1650000,13400000,15.7685
2015-03,2015,3,1600000,1950000,11220000,1750000,11400000,16.1575
2015-04,2015,4,1600000,1500000,10560000,1750000,10600000,27.2500
2015-05,2015,5,1800000,1450000,10296000,1700000,10600000,23.4429
2015-06,2015,6,2000000,1600000,10428000,1700000,11400000,21.2500
2015-07,2015,7,2200000,2100000,12672000,1750000,12600000,20.9500
2015-08,2015,8,2300000,2350000,12276000,1850000,13200000,20.9920
2015-09,2015,9,1900000,2000000,12540000,1950000,12600000,21.2240
2015-10,2015,10,1900000,2400000,13200000,2250000,12400000,22.1000
2015-11,2015,11,2100000,2500000,11880000,2350000,13600000,21.5205
2015-12,2015,12,2600000,3700000,11352000,2550000,16000000,23.1920
2016-01,2016,1,1500000,2050000,8844000,2000000,10800000,23.7085
2016-02,2016,2,1500000,1600000,9900000,2400000,9200000,23.9520
2016-03,2016,3,1600000,1400000,9636000,2350000,8800000,25.6000
2016-04,2016,4,1700000,1150000,9504000,2150000,7800000,26.8000
2016-05,2016,5,1800000,1350000,8976000,2050000,8000000,26.1000
2016-06,2016,6,2100000,1600000,8844000,2100000,9200000,25.0000
2016-07,2016,7,2100000,1750000,8712000,2050000,9400000,25.0500
2016-08,2016,8,2200000,1950000,9240000,2200000,10000000,24.8100
2016-09,2016,9,1800000,1850000,8844000,2400000,9400000,24.8000
2016-10,2016,10,1900000,2250000,8712000,2700000,9600000,26.2000
2016-11,2016,11,1800000,2550000,8184000,1100000,11400000,25.9100
2016-12,2016,12,2200000,3600000,7788000,500000,12000000,25.5000
2017-01,2017,1,1700000,2200000,7524000,0,9600000,25.5200
2017-02,2017,2,1500000,1850000,7920000,0,8600000,27.0000
2017-03,2017,3,1600000,1500000,7524000,0,8200000,27.0700
2017-04,2017,4,1700000,1300000,7524000,0,7800000,27.1800
2017-05,2017,5,1900000,1450000,7524000,0,7600000,27.0400
2017-06,2017,6,2400000,1700000,7788000,0,8400000,26.5350
2017-07,2017,7,2300000,2000000,8052000,0,9000000,26.3075
2017-08,2017,8,2800000,2200000,7788000,0,9400000,26.0700
2017-09,2017,9,2100000,2300000,8184000,0,9600000,25.7900
2017-10,2017,10,2200000,2400000,8052000,0,9800000,25.6600
2017-11,2017,11,2500000,3200000,7392000,0,11400000,26.6000
2017-12,2017,12,2900000,3500000,6864000,0,12600000,26.8800
2018-01,2018,1,2200000,2550000,7128000,0,10200000,27.0500
2018-02,2018,2,1800000,2050000,6600000,100000,9400000,28.1450
2018-03,2018,3,2000000,2100000,6600000,650000,8800000,27.7700
2018-04,2018,4,2100000,1500000,5940000,650000,8000000,26.8000
2018-05,2018,5,2400000,1600000,5808000,750000,8600000,26.2500
2018-06,2018,6,2600000,1750000,5544000,850000,8400000,26.2200
2018-07,2018,7,2800000,2000000,5544000,950000,8800000,26.1000
2018-08,2018,8,3100000,2250000,6204000,850000,9200000,26.2900
2018-09,2018,9,2300000,2000000,5280000,700000,8600000,26.8500
2018-10,2018,10,2700000,2150000,5280000,600000,8200000,28.2300
2018-11,2018,11,2900000,3200000,5148000,750000,11200000,28.2500
2018-12,2018,12,3100000,2850000,5016000,900000,11000000,28.1000
2019-01,2019,1,2400000,2000000,4884000,2400000,9400000,28.1795
2019-02,2019,2,2300000,1650000,5148000,3250000,8000000,27.7000
2019-03,2019,3,2600000,1500000,4884000,3000000,7400000,27.6020
2019-04,2019,4,2800000,1400000,4488000,3050000,7000000,27.0300
2019-05,2019,5,2900000,1400000,4884000,3000000,7200000,27.3000
2019-06,2019,6,3300000,1950000,4884000,3100000,7800000,26.3650
2019-07,2019,7,3300000,1950000,4752000,3100000,7600000,26.8445
2019-08,2019,8,3900000,2050000,4884000,3050000,7800000,26.1445
2019-09,2019,9,3100000,1950000,5148000,4100000,7600000,25.0825
2019-10,2019,10,3100000,2200000,4884000,4550000,7600000,25.1000
2019-11,2019,11,3800000,3100000,4884000,4950000,10200000,24.3300
2019-12,2019,12,4100000,3150000,4752000,4850000,9800000,24.7800
2020-01,2020,1,4400000,2250000,4752000,4250000,7400000,23.9700
2020-02,2020,2,4000000,2000000,4884000,4100000,6800000,23.6900
2020-03,2020,3,6500000,1750000,4356000,4150000,7600000,25.0050
2020-04,2020,4,7400000,1950000,4752000,4750000,9200000,24.6375
2020-05,2020,5,7600000,2400000,5412000,5000000,8200000,27.5840
2020-06,2020,6,7100000,2550000,5676000,4450000,8600000,26.9500
2020-07,2020,7,7000000,2700000,5544000,4200000,8200000,26.8900
2020-08,2020,8,7500000,2600000,5544000,3900000,8200000,26.6800
2020-09,2020,9,6600000,2650000,5280000,3500000,8200000,27.7000
2020-10,2020,10,6600000,2800000,5016000,3500000,7800000,27.5440
2020-11,2020,11,10000000,4550000,4752000,4250000,11000000,28.2800
2020-12,2020,12,9200000,4050000,4488000,4200000,11000000,28.4990
2021-01,2021,1,9700000,2800000,4752000,3600000,8400000,28.4800
2021-02,2021,2,7300000,2350000,4752000,3300000,8000000,28.3000
2021-03,2021,3,7400000,2250000,4884000,3250000,7200000,28.1000
2021-04,2021,4,8600000,2000000,4356000,3150000,7400000,27.9500
2021-05,2021,5,7600000,1950000,4488000,2850000,6600000,27.8198
2021-06,2021,6,8300000,2300000,4356000,2650000,7600000,27.7895
2021-07,2021,7,8400000,2450000,4356000,2850000,7000000,27.4597
2021-08,2021,8,8700000,2400000,4488000,2850000,6800000,27.2592
2021-09,2021,9,7500000,2250000,4488000,2950000,5400000,26.7894
2021-10,2021,10,7400000,2300000,4356000,3050000,3800000,26.8991
2021-11,2021,11,8300000,3150000,4488000,3400000,400000,26.5741
2021-12,2021,12,9000000,2700000,4224000,3850000,8200000,26.2597
2022-01,2022,1,7800000,2500000,4884000,3400000,7200000,27.1492
2022-02,2022,2,6000000,1700000,3696000,1950000,6600000,27.2500
2022-03,2022,3,4500000,1300000,3036000,1000000,4200000,28.3345
2022-04,2022,4,5500000,1400000,4092000,1500000,6000000,30.0500
2022-05,2022,5,7200000,1500000,5016000,2350000,6600000,29.5000
2022-06,2022,6,8400000,1600000,5412000,2700000,2400000,30.2500
2022-07,2022,7,8600000,1850000,5412000,2400000,400000,29.5400
2022-08,2022,8,8800000,1800000,5412000,2600000,400000,29.2500
2022-09,2022,9,8000000,1700000,5016000,2650000,200000,36.5920
2022-10,2022,10,7700000,1550000,5016000,2500000,200000,36.5000
2022-11,2022,11,8900000,1950000,5016000,2500000,200000,36.9300
2022-12,2022,12,8600000,1850000,4884000,3250000,400000,36.5000
2023-01,2023,1,6800000,1400000,4620000,2650000,200000,36.9291
2023-02,2023,2,6100000,1250000,4620000,2450000,200000,36.9000
2023-03,2023,3,6800000,1250000,4752000,2150000,200000,36.9290
2023-04,2023,4,7100000,1050000,4488000,1950000,200000,36.9290
2023-05,2023,5,7500000,1050000,4356000,2200000,200000,36.9100
2023-06,2023,6,8000000,1250000,4488000,2350000,400000,36.9000
2023-07,2023,7,8300000,1350000,4620000,2950000,400000,36.8950
2023-08,2023,8,8700000,1400000,4884000,3050000,400000,36.5686
2023-09,2023,9,7900000,1350000,4488000,2900000,400000,36.9290
2023-10,2023,10,8000000,1350000,4092000,3000000,200000,36.7950
2023-11,2023,11,8900000,1950000,4092000,3300000,400000,36.9050
2023-12,2023,12,8800000,1800000,3960000,3450000,400000,36.2000
2024-01,2024,1,6700000,1350000,4092000,3100000,400000,36.2500
2024-02,2024,2,7000000,1200000,4092000,2850000,400000,38.0500
2024-03,2024,3,7100000,1200000,4224000,2750000,1000000,37.5405
2024-04,2024,4,7800000,1050000,3960000,2700000,400000,37.9000
2024-05,2024,5,7400000,950000,3696000,2450000,200000,38.9500
2024-06,2024,6,8400000,1300000,3960000,2700000,400000,39.6110
2024-07,2024,7,9200000,1650000,3960000,2900000,800000,40.5000
2024-08,2024,8,8400000,1300000,4092000,3100000,400000,40.4000
2024-09,2024,9,7800000,1350000,3960000,2900000,400000,40.9000
2024-10,2024,10,7300000,1200000,3828000,2950000,400000,41.0000
2024-11,2024,11,7600000,1550000,3960000,3000000,400000,41.1000
2024-12,2024,12,7300000,1600000,3696000,3450000,600000,41.1400
2025-01,2025,1,6600000,1200000,3960000,3100000,400000,41.5600
2025-02,2025,2,6400000,1050000,3696000,3050000,1000000,41.9600
2025-03,2025,3,6800000,1100000,3828000,3200000,600000,41.6900
2025-04,2025,4,7400000,1050000,3696000,2950000,600000,41.5500
2025-05,2025,5,7400000,1050000,3828000,2900000,400000,41.4200
2025-06,2025,6,7100000,1150000,3564000,3100000,600000,41.4870
2025-07,2025,7,7800000,1300000,3564000,3150000,600000,41.5700
2025-08,2025,8,8000000,1250000,3960000,2950000,600000,41.7650
2025-09,2025,9,7300000,1350000,3696000,3050000,400000,41.7000
2025-10,2025,10,7400000,1450000,3564000,3200000,600000,41.3400
2025-11,2025,11,8100000,2000000,3564000,3200000,600000,41.1262
2025-12,2025,12,8000000,1650000,3432000,3350000,600000,41.9716
2026-01,2026,1,7100000,1150000,3300000,3250000,600000,42.2561
2026-02,2026,2,6100000,1200000,3036000,2800000,400000,42.1764
2026-03,2026,3,7000000,1050000,3432000,2950000,800000,42.9000
